,Col1,Col2,Col3,Col4,output
0,2.46E-07,9.72E-08,4.55E-08,7.71E-09,2
1,8.73E-07,5.00E-07,2.73E-07,1.72E-07,2
2,2.18E-06,1.51E-06,9.08E-07,6.11E-07,2
3,4.54E-06,3.72E-06,2.57E-06,1.78E-06,2
4,8.55E-06,7.36E-06,5.64E-06,4.15E-06,2
5,1.46E-05,1.30E-05,1.08E-05,8.47E-06,2
6,2.34E-05,2.15E-05,1.85E-05,1.56E-05,2
7,3.53E-05,3.35E-05,3.01E-05,2.66E-05,2
8,5.14E-05,4.94E-05,4.61E-05,4.21E-05,2
9,7.20E-05,7.01E-05,6.62E-05,6.24E-05,2
10,9.76E-05,9.53E-05,9.24E-05,8.93E-05,2
11,0.00012799,0.00012697,0.0001251,0.00012378,2
12,0.00016344,0.00016445,0.00016457,0.00016651,2
13,0.00020423,0.00020738,0.00021126,0.00021865,2
14,0.00025095,0.0002588,0.00026776,0.00028078,2
15,71E-06,2.91E-08,1.50E-08,9.57E-09,1
16,1.05E-05,4.26E-06,2.11E-06,4.23E-07,1
17,4.28E-05,2.73E-05,1.97E-05,1.62E-05,1
18,0.0001195,9.61E-05,8.62E-05,9.09E-05,1
19,0.0002602,0.00025119,0.00026144,0.0003061,1
20,0.00048318,0.00051755,0.00060408,0.00074482,1
21,0.00080044,0.00092266,0.0011403,0.0014272,1
22,0.0012248,0.0014911,0.0018684,0.0023252,1
23,0.0017406,0.002166,0.0026928,0.0032661,1
24,0.0022827,0.0028274,0.0034466,0.0040672,1
25,0.0027541,0.0033513,0.0039881,0.0045889,1
26,0.0030504,0.0036242,0.004192,0.0047125,1
27,0.0031413,0.0036175,0.0040755,0.0044834,1
28,0.0030368,0.0034091,0.0037589,0.0040407,1
29,0.0027521,0.0030196,0.003255,0.0034187,1
30,0.00058529,0.00057529,0.00057423,0.00056229,1
31,0.00054609,0.0005361,0.00051736,0.0004923,1
32,0.00049513,0.00050227,0.00049959,0.0004868,1
33,0.00043364,0.00043393,0.00043422,0.00041658,1
34,0.00039747,0.00040087,0.00038894,0.00038018,1
35,0.00037045,0.00037532,0.00036772,0.00036535,1
36,0.00036111,0.00035122,0.00034965,0.00033941,1
37,0.00033265,0.00032738,0.00033224,0.00032969,1
38,0.00031832,0.00031092,0.00029922,0.00030024,1
39,0.00031043,0.00030739,0.00030004,0.00028916,1
40,0.00027559,0.00027573,0.00027525,0.00027403,1
41,0.00024542,0.00025108,0.00025954,0.00026928,1
42,0.00025662,0.00025819,0.0002611,0.00026489,1
43,0.0002537,0.0002581,0.0002637,0.00025364,1
44,0.00024812,0.00025084,0.00024026,0.00023351,1
45,0.00022823,0.0002327,0.00022651,0.00022573,1
46,0.0002187,0.00022732,0.00022613,0.00023069,1
47,0.0002154,0.0002033,0.00019963,0.0001896,1
48,0.00020978,0.00020262,0.0002043,0.00019921,1
